rank,stadium,capacity,region,country,city,images,home_team,rank,stadium,capacity,region,country,city,images,home_team,altitude,longitude
1,Rungrado 1st of May Stadium,114000.0,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/220px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, DPR Korea women's national football team, April 25",1.0,1.0,1.0,"114,000",East Asia,North Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,1.35862245,103.93147757443202
2,Michigan Stadium,107601.0,North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg/220px-Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg,Michigan Wolverines football,2.0,2.0,0.0,"107,601",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02858055729774,-84.14388024679272
3,Ohio Stadium,102780.0,North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/220px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football,3.0,3.0,0.0,"102,780",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02858011459547,-84.14391849358543
4,Melbourne Cricket Ground,100024.0,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/220px-MCG_Panorama_24_July_2015.jpg,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC",4.0,4.0,0.0,"100,024",Oceania,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,40.3321737,-3.8291286
5,Camp Nou,99354.0,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Camp_Nou_-_FC_Barcelona_-_Barcelona.jpg/220px-Camp_Nou_-_FC_Barcelona_-_Barcelona.jpg,FC Barcelona,5.0,5.0,0.0,"99,354",Europe,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.126494,-1.6582733124466573
6,New Administrative Capital Stadium,94940.0,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/220px-The_New_administrative_stadium_of_Egypt.jpg,"Egypt national football team, Al Ahly SC",6.0,6.0,0.0,"95,500",North America,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02857878648867,-84.14403323396358
7,FNB Stadium,94736.0,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/220px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs F.C.",7.0,7.0,0.0,"94,736",Africa,South Africa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,40.437377850000004,-3.6535709941898498
8,Rose Bowl Stadium,92800.0,North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/220px-Rose_Bowl%2C_panorama.jpg,UCLA Bruins,8.0,8.0,0.0,"93,940",Africa,Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,40.4374255,-3.653180530559775
9,Sanford Stadium,92746.0,North America,United States,"Athens, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/UGA_vs._Notre_Dame_2019.jpg/220px-UGA_vs._Notre_Dame_2019.jpg,Georgia Bulldogs football,9.0,9.0,0.0,"92,800",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.028577458381875,-84.14414797434173
10,Cotton Bowl Stadium,92100.0,North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/220px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,,10.0,10.0,0.0,"92,100",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02857701567961,-84.14418622113445
