stadium,region,capacity,AVG_CAPACITY
Ellis Park Stadium,Africa,62567,55034.326923077
Estádio da Machava,Africa,60000,55034.326923077
Stade des Martyrs,Africa,80000,55034.326923077
Mogadishu Stadium,Africa,60000,55034.326923077
National Heroes Stadium,Africa,60000,55034.326923077
New Administrative Capital Stadium,Africa,94940,55034.326923077
FNB Stadium,Africa,94736,55034.326923077
Stade Ibn Battuta,Africa,65000,55034.326923077
National Sports Stadium,Africa,80000,55034.326923077
Stade du 5-juillet-1962,Africa,64000,55034.326923077
Moi International Sports Centre,Africa,80000,55034.326923077
Stade Léopold Sédar Senghor,Africa,80000,55034.326923077
Stade du 19-mai-1956,Africa,56000,55034.326923077
Hammadi Agrebi Stadium,Africa,60000,55034.326923077
Borg el-Arab Stadium,Africa,86000,55034.326923077
Odi Stadium,Africa,60000,55034.326923077
Cairo International Stadium,Africa,74100,55034.326923077
Abuja Stadium,Africa,60491,55034.326923077
Benjamin Mkapa National Stadium,Africa,60000,55034.326923077
Japan National Stadium,East Asia,68000,53616.825396825
Busan Asiad Main Stadium,East Asia,53864,53616.825396825
Shenyang Olympic Sports Center Stadium,East Asia,60000,53616.825396825
Hangzhou Olympic Sports Expo Centre Stadium,East Asia,80000,53616.825396825
Wuhan Sports Centre Stadium,East Asia,54357,53616.825396825
Tianjin Olympic Sports Centre Stadium,East Asia,54696,53616.825396825
Tianhe Stadium,East Asia,54856,53616.825396825
Chongqing Olympic Sports Centre Stadium,East Asia,58680,53616.825396825
He Long Stadium,East Asia,55000,53616.825396825
Beijing National Stadium,East Asia,91000,53616.825396825
National Stadium,East Asia,55000,53616.825396825
Jinan Olympic Sports Centre Stadium,East Asia,56808,53616.825396825
Guangdong Olympic Stadium,East Asia,80012,53616.825396825
Yizhong Sports Centre Stadium,East Asia,62000,53616.825396825
Seoul World Cup Stadium,East Asia,66704,53616.825396825
Daegu Stadium,East Asia,66422,53616.825396825
Workers' Stadium,East Asia,66161,53616.825396825
Seoul Olympic Stadium,East Asia,69950,53616.825396825
Saitama Stadium 2002,East Asia,63700,53616.825396825
Shanghai Stadium,East Asia,72000,53616.825396825
International Stadium Yokohama,East Asia,72327,53616.825396825
Rungrado 1st of May Stadium,East Asia,114000,53616.825396825
Nanjing Olympic Sports Centre Stadium,East Asia,61443,53616.825396825
Shenzhen Universiade Sports Centre,East Asia,60334,53616.825396825
Hefei Olympic Sports Centre Stadium,East Asia,60000,53616.825396825
Old Trafford,Europe,76000,57041.577777778
Stade de France,Europe,81338,57041.577777778
Signal Iduna Park,Europe,81365,57041.577777778
Groupama Stadium,Europe,59186,57041.577777778
Stadio Diego Armando Maradona,Europe,60240,57041.577777778
Croke Park,Europe,82300,57041.577777778
Emirates Stadium,Europe,60338,57041.577777778
Stadio Olimpico,Europe,72698,57041.577777778
Atatürk Olympic Stadium,Europe,76092,57041.577777778
Estadio Santiago Bernabéu,Europe,81044,57041.577777778
Allianz Arena,Europe,75024,57041.577777778
MHPArena,Europe,60469,57041.577777778
Estadio Benito Villamarín,Europe,60720,57041.577777778
Millennium Stadium,Europe,74500,57041.577777778
Olympiastadion,Europe,74475,57041.577777778
Stadion Narodowy,Europe,58580,57041.577777778
Stadio San Nicola,Europe,58270,57041.577777778
Estadio La Cartuja de Sevilla,Europe,57619,57041.577777778
Olympic Stadium,Europe,69618,57041.577777778
Stade Vélodrome,Europe,67394,57041.577777778
Veltins-Arena,Europe,62271,57041.577777778
Tottenham Hotspur Stadium,Europe,62303,57041.577777778
Wembley Stadium,Europe,90000,57041.577777778
Olympic National Sports Complex Stadium,Europe,70000,57041.577777778
Cívitas Metropolitano,Europe,67703,57041.577777778
Krestovsky Stadium,Europe,68134,57041.577777778
Murrayfield Stadium,Europe,67144,57041.577777778
Puskás Aréna,Europe,67215,57041.577777778
Olympiastadion München,Europe,69250,57041.577777778
Estádio da Luz,Europe,65647,57041.577777778
London Stadium,Europe,66000,57041.577777778
